DATE,CPI
2013-01-01,1.0653000000000001
2013-04-01,1.0641
2013-07-01,1.0698
2013-10-01,1.074
2014-01-01,1.0808
2014-04-01,1.0859
2014-07-01,1.0887
2014-10-01,1.0867
2015-01-01,1.0798
2015-04-01,1.0861
2015-07-01,1.0902
2015-10-01,1.0911
2016-01-01,1.0915000000000001
2016-04-01,1.0978
2016-07-01,1.1026
2016-10-01,1.1109
2017-01-01,1.1195000000000002
2017-04-01,1.1187
2017-07-01,1.1243
